"Name of experiment","Names of participating institutions","Locally used name for experiment","Main factor, factors or interactions of interest in an experiment","Experimental factor combinations","Field latitude","Field longitude, E positive,W negative","Elevation of field site","Name of country where field is located","First political subdivision for field location (e.g., state, province, department)","Second political subdivision for field location (e.g, county)","Indicates whether or not fertilizer was applied (Y or N)","Indicates whether or not the field was irrigated","Crop (or weed) species identifier","Cultivar name","Planting or sowing date","Growth stage date, harvest","Harvest yield at harvest maturity (dry wt)","Soil profile identifier","Name of soil profile","Source of soil data","Soil texture","Weather station ID","Name and location of site for weather data","Source of daily weather data for calculated means or weather generator parameters","Distance from weather station to field (m)","Latitude of station, degrees decimal with North as positive value","Longitude of station, degrees decimals with East as positive value","Elevation of weather station","Rainfall, planting to harvest","Average temperature, planting to harvest","number of summary observations","number of time series observations","list of unique observed variables","Suite identifiers","Distribution limitations for the data set","E-mail address of experimental data curator","Distribution limitations for the weather data set","E-mail address of weather information curator","Original format of  data (DSSAT, APSIM, CIMMYT, field log, etc)","AgMIP sentinel site rating (gold, silver, etc.)"
"exname","institution","local_name","main_factor","factors","fl_lat","fl_long","flele","fl_loc_1","fl_loc_2","fl_loc_3","fertilizer","irrig","crid","cul_name","pdate","hdate","hwam","soil_id","soil_name","sl_source","sltx","wst_id","wst_name","wst_source","wst_dist","wst_lat","wst_long","wst_elev","prcp","tavp","obs_end_of_season","obs_time_series_data","obs_vars","suiteid","ex_distrib","ex_email","wst_distrib","wst_email","data_source","agmip_rating"
"AN056_1","","","","","10.94","-1.06","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AT059_1","","","","","10.91","-1.06","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-07-04","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN043_1","","","","","10.86","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-07-18","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN007_1","","","","","10.93","-1.06","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB093_1","","","","","10.90","-1.00","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN076_1","","","","","10.86","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-07-04","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN080b_1","","","","","10.94","-1.07","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA04","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB059_1","","","","","10.91","-1.00","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA04","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN044_1","","","","","10.98","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN072_1","","","","","10.91","-1.05","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-07-18","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN094_1","","","","","10.86","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-05-11","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AT051_1","","","","","10.91","-1.00","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-07-04","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB012_1","","","","","10.96","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB015_1","","","","","10.87","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN039a_1","","","","","10.92","-0.99","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AT057_1","","","","","10.92","-0.99","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-05-18","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB027_1","","","","","10.92","-1.05","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB062_1","","","","","10.93","-1.06","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN070_1","","","","","10.91","-1.00","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB011a_1","","","","","10.94","-1.06","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB014_1","","","","","10.99","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN062_1","","","","","10.99","-1.03","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AT098_1","","","","","10.97","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB066_1","","","","","10.86","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB100_1","","","","","10.97","-1.05","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB079_1","","","","","10.92","-1.05","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA01","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB016_1","","","","","10.95","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-04","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN005_1","","","","","10.85","-1.02","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-04","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB010a_1","","","","","10.96","-1.05","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN001_1","","","","","10.85","-1.02","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN071_1","","","","","10.86","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AT064_1","","","","","10.91","-1.00","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB028_1","","","","","10.99","-1.03","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN013_1","","","","","10.91","-1.00","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN033_1","","","","","10.97","-1.05","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN055_1","","","","","10.99","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN057_1","","","","","10.86","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN066_1","","","","","10.97","-1.05","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN093_1","","","","","10.87","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AT045_1","","","","","10.91","-0.99","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AT069_1","","","","","10.84","-1.02","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AT089_1","","","","","10.97","-1.05","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AT096_1","","","","","10.97","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN061_1","","","","","10.94","-1.07","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN069_1","","","","","10.87","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-25","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN046_1","","","","","10.99","-1.03","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-25","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN051_1","","","","","10.96","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-25","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN068_1","","","","","10.91","-1.00","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-25","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN085_1","","","","","10.86","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-25","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"ANC53_1","","","","","10.85","-1.02","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-25","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB083_1","","","","","10.94","-1.07","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-25","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB085_1","","","","","10.94","-1.07","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-25","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB023_1","","","","","10.94","-0.93","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-25","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB081_1","","","","","10.94","-1.06","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN075_1","","","","","10.97","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"ANC86_1","","","","","10.94","-0.93","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-15","","","GHNA02","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN004_1","","","","","10.97","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-15","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN054_1","","","","","10.95","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-15","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN006_1","","","","","10.96","-1.05","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-15","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN064_1","","","","","10.87","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-15","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN082_1","","","","","10.93","-1.06","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-15","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN009_1","","","","","10.92","-0.99","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-15","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AT063_1","","","","","10.95","-0.93","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-15","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN018_1","","","","","10.91","-0.99","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN077_1","","","","","10.85","-1.02","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN083_1","","","","","10.97","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN092_1","","","","","10.92","-1.06","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN097_1","","","","","10.94","-1.06","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-11","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN095_1","","","","","10.96","-1.05","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB090_1","","","","","10.97","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN101_1","","","","","10.95","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN014_1","","","","","10.91","-0.99","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN039b_1","","","","","10.84","-1.02","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN084_1","","","","","10.94","-1.06","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB004_1","","","","","10.92","-0.99","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA03","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN039c_1","","","","","10.87","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA04","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AT066_1","","","","","10.92","-0.99","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA04","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"AN078_1","","","","","10.87","-1.04","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA04","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
"YB064_1","","","","","10.91","-1.07","","Ghana","Upper East","Kassena Nankana","N","N","MAZ","","2012-06-18","","","GHNA04","","IITA","","GHNA","","","","10.8847","-1.0903","184","","","1","0","hwah","","","","","","",""
